Id	Text	Label	Entities	Entities_Details
1240721152076546049	los angeles is now the county with the highest number of coronavirus cases in california. @user breaks down the impact of #covid19 on la, from cancelled college commencements to haphazard health screenings at lax airport. #cheddarlive httpurl	UNINFORMATIVE	GPE GPE	los_angeles/GPE california/GPE
1246739551227387905	#covid19 updates. #sothsudan's fist positive patient is a 29 yo dutch, who arrived in the country from netherlands via addis ababa on 28 february. #ssot httpurl	INFORMATIVE	CARDINAL NORP GPE GPE DATE PERSON	29/CARDINAL dutch/NORP netherlands/GPE addis_ababa/GPE 28_february/DATE #ssot/PERSON
1242799513619664896	watch live !! discussion on #covid19 with union health minister dr harsh vardhan, union health secretary ms preeti sudan &amp; dg icmr, dr balram bhargava httpurl	UNINFORMATIVE	PERSON PERSON ORG PERSON PERSON	dr_harsh_vardhan/PERSON ms_preeti/PERSON sudan_&amp/ORG dg_icmr/PERSON balram_bhargava/PERSON
1251122786225045504	coronavirus cases in africa could shoot up from thousands now to 10 million within three to six months according to very provisional modelling, a regional @user official said on thursday. @user httpurl httpurl httpurl	UNINFORMATIVE	LOC CARDINAL CARDINAL DATE ORG DATE	africa/LOC thousands/CARDINAL 10_million/CARDINAL three_to_six_months/DATE @user/ORG thursday/DATE
1241449715654410240	“according to their report if you come in contact with someone who tests positive for covid-19 you have a 1–5% chance of catching it as well.” who’s report? the world health organization. this is a long read but very worth while httpurl	UNINFORMATIVE	DATE PERCENT ORG	covid-19/DATE 1–5%/PERCENT the_world_health_organization/ORG
1241173819693252608	senators urge jeff bezos to give amazon warehouse workers sick leave, hazard pay - cnbc: * senators urge jeff bezos to give amazon warehouse workers sick leave, hazard pay cnbc * amazon warehouse workers fear catching coronavirus just to get you your… httpurl httpurl	UNINFORMATIVE	PERSON ORG ORG PERSON ORG ORG ORG	jeff_bezos/PERSON amazon_warehouse/ORG cnbc/ORG jeff_bezos/PERSON amazon_warehouse/ORG cnbc/ORG amazon_warehouse/ORG
1245311331579899906	a @user professor has died after contracting #coronavirus a book of condolence will be available online soon for professor peter sinclair from the department of economics. httpurl	INFORMATIVE	ORG CARDINAL PERSON ORG	@user/ORG #/CARDINAL peter_sinclair/PERSON the_department_of_economics/ORG
1240108182409601024	eu imposes entry ban for 30 days while death toll in the united states mounts to 100; death toll in italy due to #coronavirus crosses 2100; spain, colombia, malaysia and canada seal borders #covid19 #coronaviruspandemic #cuarentenanacional #cuarentenacoronavirus #coronaalert httpurl	INFORMATIVE	ORG DATE GPE CARDINAL GPE CARDINAL CARDINAL GPE GPE GPE GPE MONEY	eu/ORG 30_days/DATE the_united_states/GPE 100/CARDINAL italy/GPE #/CARDINAL 2100/CARDINAL spain/GPE colombia/GPE malaysia/GPE canada/GPE #covid19_#/MONEY
1248321628808728576	إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعُونَ sad to hear about passing away of syed mehdi shah brother in law of cm sindh @user he was tested positive with #covid_19 may allah rest his soul in peace.	INFORMATIVE	PERSON ORG	syed_mehdi_shah_brother/PERSON allah/ORG
1236128165745094663	@user carma &amp; her family in san jose, ca, are possibly infected with #coronavirus since 6 feb in seattle. way way more than 1,000 cases in seattle now... httpurl	INFORMATIVE	ORG GPE DATE GPE CARDINAL GPE	carma_&amp/ORG san_jose/GPE 6_feb/DATE seattle/GPE more_than_1,000/CARDINAL seattle/GPE
1244684987351404551	i think the president cyril ramaphosa should address us every day, monday - friday at 18:30 throughout this ordeal 🤷‍♂️ #covid_19 #coronavirusinsa #lockdownsa	UNINFORMATIVE	PERSON DATE TIME PRODUCT MONEY	cyril_ramaphosa/PERSON monday_-_friday/DATE 18:30/TIME 🤷/PRODUCT #covid_19_#coronavirusinsa_#lockdownsa/MONEY
1242951300184076288	day 8 shout out goes to kevin ⁦@user for his great coverage of covid 19 and community responses and needs coupled with applause to ⁦@user med students who are tracking positive peeps contacts!!! httpurl	UNINFORMATIVE	PERSON ORG ORG	kevin_⁦@user/PERSON covid_19/ORG ⁦@user_med/ORG
1241183452243693568	@user we don’t want to argue. we want you racists in the @user to freaking stop calling it the “chinese virus.” that is disgusting. it is stirring up bigotry and hatred. we are not arguing. and people are dying. you are hateful #racist scum. stfu. #covid2019 #coronacrisis	UNINFORMATIVE	ORG NORP	@user/ORG chinese/NORP
1241076120742768640	half of uruguay’s covid-19 cases can be traced to a single fashion designer httpurl	UNINFORMATIVE	CARDINAL GPE DATE	half/CARDINAL uruguay/GPE covid-19/DATE
1244676665990696961	e don happen!!! casala don burst!!! governor of oyo state, seyi makinde, has tested positive to the deadly coronavirus, few days after holding a political rally in the state. #coronavirustruth	INFORMATIVE	PERSON ORG PERSON DATE	casala_don/PERSON oyo_state/ORG seyi_makinde/PERSON few_days/DATE
1248774057018806272	the line of cars just seems to get longer. these folks demand @user release migrants held here in eloy to try and stop spread of covid. human rights groups say at least two migrants in the detention center tested positive for virus. @user httpurl	INFORMATIVE	GPE NORP CARDINAL	eloy/GPE covid/NORP at_least_two/CARDINAL
1244181629784002561	trump was wrong! he bed his election on shutting down virus!cdc issues domestic travel advisory as coronavirus deaths double to over 2,000 within two days httpurl	INFORMATIVE	ORG CARDINAL DATE	trump/ORG over_2,000/CARDINAL two_days/DATE
1246972644416786440	most #workplaces to close for one month from apr 7 to curb spread of #covid-19” &amp; all the #singapore morning #news you need to know on one page for april 6, 2020 via @user #sarscovs #coronavirus #covip19 #independentjournalism in #cambodia httpurl	UNINFORMATIVE	CARDINAL DATE DATE CARDINAL DATE MONEY MONEY GPE	#/CARDINAL one_month/DATE apr_7/DATE one/CARDINAL april_6,_2020/DATE #sarscovs_#/MONEY #covip19_#/MONEY #cambodia/GPE
1241782755412914177	kentucky republican rand paul is the first us senator to tested positive for covid-19. house members diaz-balart (r-fl) and mcadams (d-ut) tested positive for coronavirus earlier this month.	INFORMATIVE	GPE NORP PERSON ORDINAL GPE DATE ORG PERSON ORG PERSON DATE	kentucky/GPE republican/NORP rand_paul/PERSON first/ORDINAL us/GPE covid-19/DATE house/ORG diaz-balart/PERSON r-fl/ORG mcadams/PERSON earlier_this_month/DATE
1245114106497163270	"writing in fp, @user &amp; @user have penned their case against lifting iran sanx over the #covid pandemic. mark and rich are two of the smartest &amp; most influential advocates of the ""max pressure"" policy, and well worth reading. a few thoughts: httpurl"	UNINFORMATIVE	ORG ORG GPE PERSON CARDINAL	@user_&amp/ORG @user/ORG iran/GPE mark/PERSON two/CARDINAL
1236091525102268419	i have a place in philly and most of my family live in the general area. i’m traveling, a friend sent me this: “one floor of doylestown hospital is quarantined, central bucks school district shut down. coronavirus has arrived wth.”	UNINFORMATIVE	GPE CARDINAL ORG ORG	philly/GPE one/CARDINAL doylestown_hospital/ORG central_bucks/ORG
1236148083504775168	on friday, aipac announced that two attendees had tested positive for covid-19 coronavirus. mike pence and mitch mcconnell were both in attendance. others are being self quarantined but not attendees from the us. why? httpurl	INFORMATIVE	DATE ORG CARDINAL DATE PERSON PERSON GPE	friday/DATE aipac/ORG two/CARDINAL covid-19/DATE mike_pence/PERSON mitch_mcconnell/PERSON us/GPE
1235899315207450625	as #coronavirus spreads, democratic republic of congo discharges last #ebola patient httpurl via @user	UNINFORMATIVE	CARDINAL GPE	#/CARDINAL democratic_republic_of_congo/GPE
1245292834057576448	the city of #stl will start tracking positive cases of #covid19 by zip code. @user has your info this morning, live, from city hall. #tisl @user httpurl	UNINFORMATIVE	TIME	this_morning/TIME
1245880624482664449	thread: join @user speaks to human rights lawyer @user and infectious diseases doctor daisy tagarda • gov't eyes mass testing for suspected covid-19 cases on april 14 • nbi probes netizens spreading fake news • dr. tagarda shares story from the frontlines httpurl	UNINFORMATIVE	ORG ORG PERSON GPE DATE ORG PERSON PERSON	@user/ORG @user/ORG daisy_tagarda_•_gov't/PERSON covid-19/GPE april_14/DATE nbi/ORG •_dr/PERSON tagarda/PERSON
1241182759449739265	check your email and visit the residence life covid19 plan for details on staying and checking out: httpurl httpurl	UNINFORMATIVE		
1245863053662367747	the lss choices crisis hotline is available to help anyone experiencing #domesticviolence in franklin county. call 614-224-4663 24/7 love shouldn't hurt. #lssnetworkofhope experts fear domestic violence cases could rise during coronavirus outbreak httpurl	UNINFORMATIVE	ORG GPE CARDINAL PERSON	lss/ORG franklin_county/GPE 614/CARDINAL #lssnetworkofhope/PERSON
1238874923965136896	#surgeongeneral just said 98% to 99% will recover. #coronavirusupdates #coronavirus httpurl if 99% will recover why is the world economy shutting down? why did the media lie that this virus has a 3.5% mortality rate? it's a #nwo control plan.	UNINFORMATIVE	ORG PERCENT MONEY PERCENT PERCENT ORG	#surgeongeneral/ORG 98%_to_99%/PERCENT #coronavirusupdates_#/MONEY 99%/PERCENT 3.5%/PERCENT nwo/ORG
1249803325199040515	inside louisiana's horrifying 'cancer alley,' an 85-mile stretch of pollution and environmental racism that's now dealing with some of the highest coronavirus death rates in the country httpurl james pasley apr 9, 2020, 7:42 pm (continued 4) httpurl	UNINFORMATIVE	GPE PERSON DATE TIME CARDINAL	louisiana/GPE james_pasley/PERSON apr_9,_2020/DATE 7:42_pm/TIME 4/CARDINAL
1242812989130055680	"@user issues ""stay at home"" order issued for vt! httpurl effective 5:00pm today until april 15th. please read the order for businesses that are deemed ""essential"". #vermontstrong #covid19 #thankyourgrocers #thankyournurses #thankyourdoctors #stayhome"	UNINFORMATIVE	DATE DATE PERSON MONEY	today/DATE april_15th/DATE #vermontstrong_#covid19_#thankyourgrocers_#thankyournurses/PERSON #thankyourdoctors_#/MONEY
1245771047435218945	@user @user @user @user @user @user they both are relief hospitals provided by the federal government and federal protocols govern who can be admitted. guess the feds are not that keen to ensure non-coronavirus cases get admitted to their hospitals so @user can put corona patients in our regular hospitals	UNINFORMATIVE		
1244578159976054785	3. st. xavier’s school, shivajinagar 4. st. lourdes school, cubbonpet 5. st. lourdes school, halasuru (ulsoor) please share #covid2019	UNINFORMATIVE	CARDINAL PERSON ORG ORG ORG ORG ORG	3/CARDINAL st._xavier/PERSON shivajinagar_4/ORG st._lourdes_school/ORG cubbonpet_5/ORG st._lourdes_school/ORG halasuru/ORG
1236152372088442880	usat: aipac says 2 pple at dc conf. attended by pence &amp; others, tested positive for coronavirus the american israel public affairs committee told conf. attendees, some of whom include lawmakers, that at least 2 conf-goers have tested positive for covid-19 httpurl	INFORMATIVE	ORG ORG CARDINAL ORG NORP GPE CARDINAL	usat/ORG aipac/ORG 2/CARDINAL pence_&amp/ORG american/NORP israel/GPE at_least_2/CARDINAL
1245730086457876487	motorhomes / rv's for overworked healthcare workers? a thought occurred to me in reading about how #healthcare workers are a) so overworked and tired after their shifts, and b) so anxious over bringing #covid19 back to their families, c) in some cases s…httpurl	UNINFORMATIVE	ORG ORG	motorhomes_/_rv's/ORG #healthcare_workers/ORG
1236128441956630534	#australia melbourne gp clinic closed after doctor tests positive for #coronavirus after seeing 70 patients this month - abc news httpurl via @user	INFORMATIVE	ORG CARDINAL CARDINAL DATE ORG	#australia_melbourne_gp_clinic/ORG #/CARDINAL 70/CARDINAL this_month/DATE abc_news/ORG
1245717847415930880	🚨senator loeffler and her husband “sold shares in retail stores such as lululemon and t.j. maxx and invested in a company that makes covid-19 protective garments.” in case governors were still wondering why price gouging on ppe products hasn’t halted.🤨 httpurl	UNINFORMATIVE	PERSON ORG ORG GPE	loeffler/PERSON lululemon/ORG t.j._maxx/ORG covid-19/GPE
1241410720555765762	georgia in the coronavirus age: chaos, bad news, mounting deaths more than 300 patients from cruise ship with + covid land in atlanta. during flight, 3 found to test positive, 1 sick. cdc screened remaining patients &amp; released them to fly home. crazy httpurl	INFORMATIVE	GPE CARDINAL GPE CARDINAL CARDINAL ORG ORG	georgia/GPE more_than_300/CARDINAL atlanta/GPE 3/CARDINAL 1/CARDINAL cdc/ORG &amp/ORG
1245640235871956993	according to cmo lucknow dr narendra agarwal: samples were taken of 25 people who had attended the tabglighi jamaat event. all 25 people have been tested negative for covid19. @user @user	INFORMATIVE	ORG PERSON CARDINAL NORP CARDINAL	cmo_lucknow_dr/ORG narendra_agarwal/PERSON 25/CARDINAL jamaat/NORP 25/CARDINAL
1246018084478939136	(update) the indian #rupee fell against the us #dollar recently. indian #coronavirus cases risk exponentially growing with manufacturing slowing. $usdinr may rise but it faces fading momentum #india #rbi - ... httpurl	UNINFORMATIVE	NORP MONEY NORP ORG	indian/NORP #rupee/MONEY indian/NORP usdinr/ORG
1245863461646561282	#yemen if any covid19 case shows up in yemen, god forbid, then we hold the saudico regimes &amp; their masters full responsibility. game over gestapo, your biological warfare isn't going to break will of the people of yemen. cholera &amp; diptheria are examples httpurl	UNINFORMATIVE	GPE GPE ORG GPE ORG	#yemen/GPE yemen/GPE the_saudico_regimes_&amp/ORG yemen/GPE cholera_&amp/ORG
1244711847074213889	when you divide the coronavirus stimulus package by the population of america and remember that the virus was first announced 6666 days after the 9/11 attacks. 🧐 httpurl	UNINFORMATIVE	GPE DATE CARDINAL	america/GPE 6666_days/DATE 9/11/CARDINAL
1236113067039027200	mathematically, the overall death rate from #covid19 is 3.3% (3412 dead out of 100,775 cases. death rate china is 3.7% death rate s. korea is 4.6% 👉🏼but the death rate in iran is horrific. it is 25.9%⁉️ httpurl	INFORMATIVE	PERCENT CARDINAL CARDINAL GPE PERCENT GPE PERCENT GPE CARDINAL	3.3%/PERCENT 3412/CARDINAL 100,775/CARDINAL china/GPE 3.7%/PERCENT s._korea/GPE 4.6%/PERCENT iran/GPE 25.9%⁉️/CARDINAL
1242841682648936449	a california highway patrol officer stationed in oakland has tested positive for the coronavirus, the latest bay area law enforcement officer to be diagnosed with the virus, authorities said. httpurl	INFORMATIVE	GPE GPE LOC	california/GPE oakland/GPE bay_area/LOC
1243534385598496768	sad! 2 #coronavirusindia suicides! man commits suicide over coronavirus suspicion in dakshina karnataka. another middle-aged man from uppoor village in neighbouring udupi district ended his life on wednesday after suspecting that he had the covid-19 infection -- pti	INFORMATIVE	CARDINAL GPE GPE GPE DATE DATE	2_#/CARDINAL dakshina_karnataka/GPE uppoor_village/GPE udupi/GPE wednesday/DATE covid-19/DATE
1237344256458657792	it will get worse since @user and the politically correct gang who are pawns of the un's @user will promote the spread of the virus through international travel into canada ontario confirms three new covid-19 cases httpurl	INFORMATIVE	ORG ORG GPE CARDINAL	@user/ORG un/ORG canada_ontario/GPE three/CARDINAL
1241636547365134336	just read this ‘incredibly worrying. covid-19 cases confirmed in gaza’ and geno felt bad for paul he’s been through so much lol good eyes old man	INFORMATIVE	GPE PERSON PERSON	gaza/GPE geno/PERSON paul/PERSON
1236183073273688064	heard about the news regarding an employee in bgc, specifically netlima building (where i worked before) who’s tested positive for #covid19. to my bgc friends and hangout buddies, my ex-officemates and colleagues who are still working there, you guys take care and be vigilant. 😔	INFORMATIVE	ORG FAC ORG	bgc/ORG netlima_building/FAC bgc/ORG
1245659811108159495	come on &amp; he must stop another hateful useless episode especially at such a time of disaster with the corona virus. he must stop the hate &amp; shameful &amp; disgraceful actions. adam schiff must forget &amp; must stop the hating especially at such a time of disaster with the corona virus.	UNINFORMATIVE	ORG PERSON	&amp/ORG adam_schiff/PERSON
1250494185729335296	@user it's what they do.. remember the imaginary extra 20,000 police.. the 20 hospitals that were 8 then 2. imaginary help for sme's, self-employed.. imaginary #covid19 testing.. imaginary #ppe.. imaginary ventilators.. invisible care home deaths.. httpurl	UNINFORMATIVE	CARDINAL CARDINAL CARDINAL CARDINAL	20,000/CARDINAL 20/CARDINAL 8/CARDINAL 2/CARDINAL
1241313082376425472	the corona virus cases in ghana is moving like the eve people's dance.... it moves forward, comes back and move forward again ... 19 #covid_19 cases now ehii 🙊🙊💔	UNINFORMATIVE	GPE CARDINAL ORG	ghana/GPE 19/CARDINAL ehii_🙊🙊/ORG
1241179161588387840	an update on our efforts to secure covid-19 test kits for the city of mobile: httpurl	UNINFORMATIVE	DATE	covid-19/DATE
1251869634279718915	@user mr president ask evers in wisconsin to open our economy. he has us on lockdown until may 26. we have 170 deaths attributed to covid-19. i think 170 is an inflated number. last year our entire deaths were 140. we are not a hotbed. we need to open	INFORMATIVE	PERSON GPE DATE CARDINAL GPE CARDINAL DATE CARDINAL	evers/PERSON wisconsin/GPE may_26/DATE 170/CARDINAL covid-19/GPE 170/CARDINAL last_year/DATE 140/CARDINAL
1245672947873918976	health-care workers make up 9.6% of confirmed covid-19 cases in ontario, @user has learned from government data. that includes doctors, nurses, paramedics, personal support workers, long-term care home staff and other health-care professionals: httpurl	UNINFORMATIVE	PERCENT DATE GPE ORG	9.6%/PERCENT covid-19/DATE ontario/GPE @user/ORG
1244533791399575552	delighted to hear that friend @user has been discharged from hospital after having covid-19. i heard of her husband @user she's at home &amp; was having a brew. what a fighter you are linda. wishing the family good health, love @user x #localradio #darloradio httpurl	INFORMATIVE	ORG ORG PERSON	@user/ORG home_&amp/ORG linda/PERSON
1241173784272363525	we're just like everybody else - hunkered down at the moment. @user talked to local olympians with concerns about training for #tokyo2020 amid coronavirus shutdowns. httpurl	UNINFORMATIVE	NORP	olympians/NORP
1246037020641640449	"@user @user trump is no friend to veterans. trump was advised about covid-19 on aircraft carrier theodore roosevelt...did nothing! trump said soldiers suffering tbi had ""headaches"" after bombed! soldier's wanting the 1.3% raise ""unpatriotic"" ""like soldier's who weren't pow's"" deported 800 httpurl"	UNINFORMATIVE	PERSON PERSON PERSON PERSON ORG PERCENT	trump/PERSON trump/PERSON theodore_roosevelt/PERSON trump/PERSON tbi/ORG 1.3%/PERCENT
1241164368588328961	washington state has 148 new #covid19 cases totaling 1,524 (source: @user ... growth appears linear looking back, unclear about the next five days ... looking decent @user #seattlecoronavirus httpurl	INFORMATIVE	ORG CARDINAL CARDINAL DATE	washington_state/ORG 148/CARDINAL 1,524/CARDINAL the_next_five_days/DATE
1245890265447043074	mike dudley was known as ‘pastor’ to many in baltimore. the 61-year-old died just days after being diagnosed with covid-19. i talked with his family about the legacy he leaves behind, as well as a heart wrenching reality of this virus — dying in the hosptial w/out family. httpurl	INFORMATIVE	PERSON GPE DATE DATE GPE	mike_dudley/PERSON baltimore/GPE 61-year-old/DATE just_days/DATE covid-19/GPE
1241135058569900036	"“this evening we were notified that a member of the office of the vice president tested positive for the coronavirus,"" pence's press secretary, katie miller, said in a statement."	INFORMATIVE	TIME PERSON	this_evening/TIME katie_miller/PERSON
1247111405276483585	#breaking: the ministry of health on monday announced another religious gathering cluster of #covid19 that took place in kuching, sarawak, in which two deaths and 83 positive cases have been recorded. httpurl httpurl	INFORMATIVE	ORG DATE GPE GPE CARDINAL CARDINAL	the_ministry_of_health/ORG monday/DATE kuching/GPE sarawak/GPE two/CARDINAL 83/CARDINAL
1241595312730497029	a governor issuing a presser on #covidー19 case in oyo state while #fmoh and @user are doing the same shows a gap in coordination. the unwarranted gap has left a dent on the # of cases in nigeria. cases now 23 in nigeria and not 22. the oyo case wasn't counted at 22	INFORMATIVE	ORG GPE CARDINAL GPE CARDINAL ORG CARDINAL	oyo_state/ORG nigeria/GPE 23/CARDINAL nigeria/GPE 22/CARDINAL oyo/ORG 22/CARDINAL
1245721411676758018	attn #srls: upcoming free webinar on april 7th! topic: covid-19 related information for srls: adjournments, legal paperwork, &amp; urgent cases. led by julie, and family lawyers aisha amjad &amp; georgette makhoul. more details on the facebook page here: httpurl #a2j httpurl	UNINFORMATIVE	PERSON DATE ORG PERSON ORG PERSON ORG	attn_#srls/PERSON april_7th/DATE &amp/ORG julie/PERSON aisha_amjad_&amp/ORG georgette_makhoul/PERSON facebook/ORG
1236104801244438528	"trump is hoping that warmer weather will kill this ""superbug"" as was the case with #sars , has anyone noticed that the west coast appears to be the epicentre of #covid #covidー19 related deaths? just asking mr. prez.."	UNINFORMATIVE	ORG LOC MONEY PERSON	trump/ORG the_west_coast/LOC #covid_#covidー19/MONEY prez/PERSON
1245874722988085248	"@user @user ""lead"", sarah? sitting on the info for months, lying about it, and then creating the world's biggest clusterfu#k in trying to manage it. everyone see's, and hears, what trump* has done. he's a joke! #covid19 #covid19pandemic #trumpliespeopledie"	UNINFORMATIVE	PERSON DATE PERSON MONEY	sarah/PERSON months/DATE trump/PERSON #covid19_#covid19pandemic_#trumpliespeopledie/MONEY
1243101268597280768	three more #coronavirus positive cases confirmed in #telangana today. among 3 positive cases, 2 of them are doctors from domalguda in #hyderabad &amp; 3rd one is a 49-year-old male resident of qutbullapur in medchal. with this number of #covid19 cases in ts has increased to 44 httpurl	INFORMATIVE	CARDINAL CARDINAL DATE CARDINAL CARDINAL ORG ORDINAL DATE CARDINAL	three/CARDINAL #/CARDINAL today/DATE 3/CARDINAL 2/CARDINAL domalguda/ORG 3rd/ORDINAL 49-year-old/DATE 44/CARDINAL
1247736993238433792	covid-19: did jesus stop being that great doctor, the doctor of doctors? my dear, black / african « sheep », but where has your jesus christ, the doctor of doctors gone? in fact, more than 1,034 priests, bishops and nuns died from the corona virus httpurl	INFORMATIVE	DATE PERSON NORP ORG PERSON CARDINAL	covid-19/DATE jesus/PERSON black_/_african/NORP »/ORG jesus_christ/PERSON more_than_1,034/CARDINAL
1245869543517376512	@user hmm.. now why, oh why would #biden still be opposed to #medicareforall during a #pandemic that's so far seen 10m+ people lose both their job &amp; #healthinsurance.. &amp; said he'd even veto it, if it passed through his congress?🤔 #nojoe #nomiddleground #dnckillsvoters #covid19	UNINFORMATIVE	PERSON PERSON CARDINAL PERSON ORG PERSON	#biden/PERSON #medicareforall/PERSON 10m+/CARDINAL #healthinsurance/PERSON congress/ORG 🤔_#nojoe/PERSON
1246422722428583936	who reversals during #covid19 (1) no human-to-human transmission (2) not yet an emergency (pheic) (3) no need for travel restrictions (4) no need for universal mask wearing this is what happens when the un and who puts politics infront of human lives	UNINFORMATIVE	CARDINAL CARDINAL CARDINAL ORG	2/CARDINAL 3/CARDINAL 4/CARDINAL un/ORG
1244910753297006592	more recoveries! the department of health reports 7 new covid-19 recoveries, bringing the total number of recovered patients to 49. please stay at home! #covid19ph httpurl	INFORMATIVE	ORG CARDINAL CARDINAL	the_department_of_health/ORG 7/CARDINAL 49/CARDINAL
1236484280886403073	httpurl coronavirus: experiment gone wrong? two wuhan lab leaks exposed by chinese scientists i had my suspicion of the origin of the virus!😉👍	UNINFORMATIVE	CARDINAL GPE NORP PERSON	two/CARDINAL wuhan/GPE chinese/NORP 😉👍/PERSON
1241987899840696320	suspect food retail sales up a lot in jersey, supermarkets will need more people as the #covidー19 crisis develops. some comfort for hospitality &amp; non food retail staff losing jobs, there maybe another one.	UNINFORMATIVE	GPE ORG	jersey/GPE hospitality_&amp/ORG
1241241557245857797	this coronavirus case is really serious. even boko haram is working from home.🤣🤣🤣 httpurl	UNINFORMATIVE	PERSON PERSON	boko_haram/PERSON 🤣🤣🤣/PERSON
1241083119832268801	montco pa coronavirus update- encouraging people to take advantage of 90 miles of trails in the county but continue to use social distancing.	UNINFORMATIVE	PERSON QUANTITY	montco_pa/PERSON 90_miles/QUANTITY
1243163310356418568	hometown heroes! meet the new jersey restaurant owner who took out a $50,000 credit line so he could continue to pay employees during the covid-19 closing! httpurl	UNINFORMATIVE	GPE MONEY DATE	new_jersey/GPE 50,000/MONEY covid-19/DATE
1240801912955392000	cdc says n95 masks can be used for 8 hrs of continuous or intermittent use, should be discarded after interaction w/an infected patient. many dr’s around us said they are being given 1 to use indefinitely, they spray it down w/ lysol or wipe it off, unsure it will help. #covid19	UNINFORMATIVE	ORG ORG TIME CARDINAL	cdc/ORG n95/ORG 8_hrs/TIME 1/CARDINAL
